customer_id,customer_name,email,registration_date,customer_type
CUST00001,Allison Hill,donaldgarcia@example.net,2025-10-16,REGULAR
CUST00002,Angie Henderson,davisjesse@example.net,2024-10-08,REGULAR
CUST00003,Cristian Santos,lrobinson@example.com,2026-01-24,REGULAR
CUST00004,Abigail Shaffer,jpeterson@example.org,2026-07-02,REGULAR
CUST00005,Gabrielle Davis,howardmaurice@example.com,2025-03-08,REGULAR
CUST00006,Monica Herrera,smiller@example.net,2024-08-11,REGULAR
CUST00007,Shannon Ray,williamsjeremy@example.com,2024-01-28,REGULAR
CUST00008,Dr. Sharon James,xreid@example.org,2025-10-27,REGULAR
CUST00009,Daniel Adams,lynchgeorge@example.net,2025-04-04,REGULAR
CUST00010,Joel Nelson,gabriellecameron@example.org,2026-06-09,PREMIUM
CUST00011,Andrew Stewart,carl95@example.org,2024-06-12,REGULAR
CUST00012,Jennifer Rocha,ithomas@example.org,2024-06-08,VIP
CUST00013,Kimberly Burgess,zhurst@example.com,2024-12-10,REGULAR
CUST00014,Zachary Hicks,camposmichelle@example.org,2024-04-09,PREMIUM
CUST00015,Rebecca Henderson,cruzcaitlin@example.com,2025-09-10,PREMIUM
CUST00016,Tricia Valencia,frazierdanny@example.net,2026-01-17,REGULAR
CUST00017,Patricia Peterson,ryan70@example.net,2025-01-22,REGULAR
CUST00018,Deborah Mason,williamrodriguez@example.net,2026-04-29,REGULAR
CUST00019,Mark Lynch,nathanielmartin@example.net,2026-06-01,REGULAR
CUST00020,Linda Burns,hickmannatasha@example.com,2025-12-22,REGULAR
CUST00021,David Bradley,millertodd@example.org,2024-08-21,VIP
CUST00022,Kim Martinez,karroyo@example.com,2026-05-25,PREMIUM
CUST00023,Lisa Brandt,jenniferross@example.net,2025-01-24,REGULAR
CUST00024,Jessica Holmes,wrightcaleb@example.org,2026-05-04,REGULAR
CUST00025,Crystal Robinson,zimmermanbrian@example.org,2024-12-29,REGULAR
CUST00026,Shannon Jones,joshuawashington@example.net,2025-12-19,REGULAR
CUST00027,Timothy Duncan,esanchez@example.com,2025-10-12,REGULAR
CUST00028,Brent Jordan,ujenkins@example.org,2024-09-07,REGULAR
CUST00029,Victoria Garcia,zchandler@example.org,2024-10-03,REGULAR
CUST00030,Connor West,dwhite@example.org,2024-08-12,PREMIUM
CUST00031,Angela Morton,williamsyvette@example.org,2026-03-05,REGULAR
CUST00032,Tammy Allison,richardolson@example.com,2024-02-02,REGULAR
CUST00033,Carmen Smith,ybaker@example.com,2024-03-08,PREMIUM
CUST00034,Michael Cross,smoore@example.org,2025-08-03,REGULAR
CUST00035,Lauren Daniels,brian97@example.net,2025-05-26,PREMIUM
CUST00036,Kim Brown,yorkcasey@example.org,2025-10-20,REGULAR
CUST00037,Cynthia Wilson,bethwilliams@example.org,2024-05-22,PREMIUM
CUST00038,Kevin Mills,customer.email.com,2025-07-05,PREMIUM
CUST00039,Michael Evans,sarah10@example.com,2025-03-14,REGULAR
CUST00040,Kristine Garcia,williamanderson@example.com,2024-08-12,REGULAR
CUST00041,Sherry Wood,samueldaniels@example.com,2024-04-03,PREMIUM
CUST00042,Victoria Valdez,contrerasangela@example.net,2024-06-05,REGULAR
CUST00043,Shawn Baker,newtoneric@example.com,2025-11-27,REGULAR
CUST00044,Michelle Harris,william40@example.org,2025-01-29,REGULAR
